"time","votecount"
1467008787.5389,3575566
1467009113.21078,3576661
1467009311.83442,3577437
1467009611.47416,3578607
1467009910.9523,3579783
1467010211.5152,3581080
1467010511.21579,3582419
1467010810.76263,3583776
1467011111.58464,3585250
1467011411.10813,3586873
1467011710.77622,3588523
1467012011.27094,3590215
1467012310.75805,3591967
1467012611.22687,3593814
1467012910.71099,3595815
1467013211.18061,3597916
1467013510.64603,3599990
1467013811.16823,3602275
1467014110.6778,3604584
1467014411.17832,3607166
1467014710.73514,3609759
1467015011.34062,3612288
1467015310.9883,3614881
1467015610.47073,3617443
1467015911.08671,3619916
1467016213.74937,3622435
1467016511.28128,3624891
1467016810.87442,3627262
1467017111.48007,3629629
1467017410.98488,3631864
1467017710.85999,3634061
1467018011.42883,3636360
1467018311.20818,3638516
1467018610.99576,3640667
1467018910.94947,3642708
1467019211.58141,3644661
1467019511.13685,3646686
1467019810.72787,3648799
1467020111.80144,3650794
1467020411.41983,3652694
1467020710.91034,3654588
1467021011.49928,3656430
1467021310.99538,3658245
1467021610.53023,3660005
1467021911.28539,3661695
1467022211.24113,3663414
1467022512.27324,3665162
1467022811.52879,3668341
1467023111.05803,3670075
1467023410.83808,3671747
1467023711.37271,3673312
1467024010.91707,3674836
1467024311.45552,3676437
1467024611.01879,3677942
1467024910.57301,3679855
1467025212.36307,3681753
1467025510.95403,3683306
1467025811.47365,3684913
1467026110.95159,3686542
1467026411.53654,3687977
1467026711.05147,3689479
1467027010.54281,3691035
1467027311.00918,3692627
1467027610.48449,3694168
1467027910.94265,3695712
1467028211.47612,3697294
1467028510.98813,3698837
1467028810.63326,3700365
1467029111.19734,3701841
1467029410.68249,3703310
1467029711.15708,3704772
1467030010.69199,3706084
1467030311.21117,3707456
1467030610.70677,3709032
1467030911.54845,3710490
1467031211.39928,3711978
1467031511.10418,3713441
1467031810.81691,3714857
1467032111.30071,3716258
1467032410.98319,3717595
1467032710.92532,3718884
1467033012.33281,3720212
1467033312.58029,3721546
1467033612.06466,3722781
1467033911.59455,3724045
1467034211.97125,3725245
1467034511.42921,3726509
1467034813.93818,3727746
1467035111.46902,3728928
1467035411.41616,3730219
1467035711.47658,3731411
1467036012.01826,3732589
1467036311.77113,3733716
1467036612.10547,3734752
1467036854.91102,3735680
1467036910.99491,3735904
1467037211.9574,3736924
1467037526.45751,3738028
1467038161.46496,3740375
1467038416.47466,3741364
1467038714.97114,3742675
1467039011.01361,3743712
1467039311.27374,3744823
1467039611.69715,3745945
1467039910.92363,3747007
1467040211.81253,3748012
1467040512.91295,3749082
1467040811.13323,3750103
1467041111.63465,3751160
1467041412.78716,3752252
1467041710.84197,3753307
1467042010.88126,3754435
1467042311.74286,3755466
1467042611.56451,3756544
1467042911.45349,3757631
1467043211.77609,3758693
1467043510.81912,3759737
1467043811.74387,3760748
1467044112.68547,3761720
1467044411.74041,3762728
1467044711.98272,3763808
1467045012.26066,3764857
1467045311.52428,3765825
1467045612.06422,3766834
1467045911.63103,3767894
1467046211.73644,3768863
1467046511.24437,3769917
1467046812.07286,3771102
1467047111.05371,3772610
1467047411.09119,3774336
1467047710.9708,3776158
1467048011.0466,3778061
1467048311.35155,3779931
1467048612.66389,3781961
1467048911.51951,3784116
1467049211.69002,3786311
1467049512.19865,3788780
1467049811.76551,3791002
1467050112.33678,3793531
1467050412.02191,3796206
1467050711.95582,3798874
1467051011.57029,3801736
1467051311.67089,3804736
1467051611.21914,3807592
1467051911.34378,3810722
1467052211.85864,3813700
1467052511.44092,3816817
1467052811.29397,3819773
1467053111.17427,3822692
1467053410.9803,3825465
1467053711.95153,3828196
1467054012.40473,3830674
1467054311.9332,3832918
1467054611.8011,3834865
1467054911.77844,3836846
1467055211.74563,3838699
1467055511.71993,3840653
1467055812.65985,3842550
1467056111.72411,3844456
1467056411.70251,3846319
1467056711.94418,3848003
1467057011.62713,3849971
1467057311.74876,3851988
1467057612.61162,3853839
1467057912.03419,3855601
1467058211.67082,3857236
1467058511.63842,3858878
1467058811.40085,3860448
1467059111.49062,3861915
1467059412.4645,3863424
1467059711.67928,3864903
1467060011.46923,3866364
1467060311.56855,3867676
1467060612.3533,3868980
1467060911.31194,3870255
1467061212.13531,3871821
1467061511.64635,3873310
1467061811.43796,3874858
1467062111.28433,3876387
1467062411.42081,3877808
1467062710.98471,3879200
1467063012.17959,3880535
1467063312.15435,3881860
1467063611.9539,3883238
1467063911.75654,3884573
1467064211.73256,3885840
1467064511.53176,3883318
1467064812.48363,3884464
1467065112.34804,3885502
1467065411.64381,3886432
1467065711.49084,3887401
1467066011.35544,3888285
1467066311.17052,3889124
1467066612.1244,3889811
1467066911.37013,3890582
1467067211.85192,3891265
1467067511.81309,3891881
1467067811.74334,3892457
1467068412.9192,3893451
1467068711.38218,3893925
1467069011.53436,3894361
1467069311.68613,3894774
1467069611.47592,3895149
1467069911.63153,3895455
1467070212.41331,3895765
1467070511.80477,3896052
1467070812.00533,3896344
1467071112.08833,3896609
1467071411.7866,3896851
1467071711.87425,3897102
1467072012.78689,3897322
1467072311.477,3897516
1467072611.64149,3897724
1467072911.74373,3897916
1467073211.61675,3898087
1467073511.7395,3898247
1467073812.40779,3898408
1467074111.93237,3898547
1467074411.81033,3898670
1467074711.91441,3898802
1467075012.13943,3898920
1467075612.68885,3899147
1467075911.22736,3899285
1467076211.57177,3899421
1467076511.80488,3899519
1467076811.94416,3899627
1467077112.20516,3899717
1467077413.36204,3899795
1467077711.67572,3899896
1467078012.24976,3899983
1467078312.46058,3900071
1467078612.0826,3900165
1467078912.26786,3900264
1467079212.92893,3900324
1467079511.31772,3900424
1467079812.18649,3900508
1467080112.15365,3900595
1467080412.47277,3900667
1467080712.24776,3900739
1467081013.18646,3900809
1467081311.7279,3900876
1467081611.923,3900942
1467081911.99757,3900997
1467082212.09417,3901057
1467082512.02792,3901128
1467082812.46173,3901202
1467083112.19937,3901263
1467083412.24733,3901318
1467083712.2118,3901377
1467084011.61908,3901425
1467084312.25835,3901481
1467084612.91433,3901538
1467084912.23461,3901597
1467085212.23401,3901652
1467085511.43582,3901721
1467085811.8446,3901778
1467086111.65389,3901829
1467086412.52653,3901881
1467086712.18456,3901949
1467087012.55476,3902017
1467087311.66725,3902089
1467087611.60338,3902164
1467087911.94151,3902237
1467088212.99635,3902302
1467088511.56369,3902368
1467088811.41931,3902460
1467089112.32127,3902536
1467089411.61173,3902649
1467089711.71529,3902760
1467090012.40321,3902901
1467090312.25497,3903027
1467090612.31028,3903159
1467090912.10205,3903308
1467091212.28432,3903486
1467091512.48077,3903663
1467091812.77743,3903863
1467092112.6951,3904080
1467092411.90276,3904288
1467092711.8075,3904504
1467093011.62113,3904773
1467093311.56348,3905056
1467093612.56416,3905335
1467093912.07293,3905637
1467094212.05652,3906039
1467094512.07561,3906399
1467094811.8992,3906795
1467095111.90489,3907183
1467095412.61016,3907611
1467095711.96093,3908019
1467096012.34451,3908438
1467096312.46323,3908866
1467096611.56284,3909300
1467096911.20213,3909799
1467097212.93941,3910296
1467097511.42461,3910804
1467097812.29781,3911361
1467098111.59918,3911925
1467098411.20954,3912594
1467098712.01949,3913346
1467099013.76003,3914024
1467099311.03848,3914712
1467099611.79764,3915356
1467099911.70384,3916000
1467100211.22329,3916664
1467100512.04665,3917320
1467100812.66939,3918004
1467101112.00745,3918728
1467101411.89325,3919452
1467101712.70362,3920172
1467102011.90701,3920950
1467102311.20103,3921737
1467102612.47464,3922502
1467102912.13256,3923218
1467103211.31077,3924014
1467103511.58368,3924745
1467103811.78841,3925428
1467104112.33176,3926116
1467104412.29688,3926861
1467104712.49492,3927569
1467105012.28133,3928236
1467105312.18858,3928972
1467105612.06437,3929661
1467105911.39419,3930316
1467106212.89233,3930960
1467106511.84732,3931619
1467106811.89677,3932243
1467107112.08486,3932908
